corridor_id,corridor_name,direction,origin_lat,origin_lng,dest_lat,dest_lng,est_distance_km
1,Madhya Marg: PGI Chowk ↔ Housing Board lights,A_to_B,30.7597,76.7752,30.7084,76.8372,8.5
1,Madhya Marg: PGI Chowk ↔ Housing Board lights,B_to_A,30.7084,76.8372,30.7597,76.7752,8.8
2,Udyog Path: PU Chowk ↔ Elante Mall,A_to_B,30.7523,76.7645,30.7111,76.8012,5.9
2,Udyog Path: PU Chowk ↔ Elante Mall,B_to_A,30.7111,76.8012,30.7523,76.7645,5.9
3,Dakshin Marg: Daddu Majra ↔ Hallo Majra Lights,A_to_B,30.7515,76.7491,30.6916,76.8029,8.5
3,Dakshin Marg: Daddu Majra ↔ Hallo Majra Lights,B_to_A,30.6916,76.8029,30.7515,76.7491,8.7
4,Shanti Path: Sector 38W ↔ Sector 31 Lights,A_to_B,30.7505,76.7336,30.6970,76.7774,7.4
4,Shanti Path: Sector 38W ↔ Sector 31 Lights,B_to_A,30.6970,76.7774,30.7505,76.7336,7.6
5,NH 5: Grain Market ↔ Sector 47 Chowk,A_to_B,30.7433,76.7222,30.6895,76.7665,7.4
5,NH 5: Grain Market ↔ Sector 47 Chowk,B_to_A,30.6895,76.7665,30.7433,76.7222,7.5
6,Vigyan Path: PEC Chowk ↔ Golf Club,A_to_B,30.7652,76.7874,30.7336,76.8153,4.5
6,Vigyan Path: PEC Chowk ↔ Golf Club,B_to_A,30.7336,76.8153,30.7652,76.7874,4.5
7,Uttar Marg: Sector 2 Chowk ↔ Sukhna Lake,A_to_B,30.7623,76.7953,30.7443,76.8103,2.5
7,Uttar Marg: Sector 2 Chowk ↔ Sukhna Lake,B_to_A,30.7443,76.8103,30.7623,76.7953,2.5
8,Madhya Marg: Khudda Lahora ↔ Matka Chowk,A_to_B,30.7747,76.7703,30.7469,76.7857,3.6
8,Madhya Marg: Khudda Lahora ↔ Matka Chowk,B_to_A,30.7469,76.7857,30.7747,76.7703,3.9
9,Madhya Marg: GMSH 16 ↔ Kalagram,A_to_B,30.7466,76.7860,30.7125,76.8218,5.2
9,Madhya Marg: GMSH 16 ↔ Kalagram,B_to_A,30.7125,76.8218,30.7466,76.7860,5.5
10,Udyog Path: Dhanas ↔ ISBT Sector 17,A_to_B,30.7694,76.7524,30.7365,76.7774,4.5
